source_id,targets_id,sentence1,sentence2,label
8881750023484030,8881750039414001,瘦脸针是怎么做呢,瘦脸针怎么购买,0
1159720015940001,1159720053404007,目前最好的填充是什么？,什么填充最好,1
8388040157241011,8388040166095005,60多岁女,嗯，60多岁，,0
2773850028953007,8592480000675004,我妈妈52,赵，52岁,0
3991420105802014,8388040002273012,小硬币大小,小鸡蛋大小,0
8388040046161009,8388040064132007,哪种适合肿泡眼,适合肿眼泡的,1
8388040046302025,8388040070814010,不能化妆吗？,是不是不能化妆了,0
3991420073022023,3991420074301024,好的有时间我会过来的,有时间我会去你们院,1
8388040101031017,8388040113781005,那校正呢？,可以校正吗,1
5727500011029053,5727500025352014,好的，谢谢。,好的谢谢您,1
4276530013132044,4276530014846008,我没收到验证,没有收到验证哎,1
3991420043201011,3991420045290010,可修复？,可修复也可以的,0
8388040129396001,8388040150451016,钴铬烤瓷牙装一颗多少钱,嗯，贵金属烤瓷牙多少钱一颗？,0
8388040073226028,8388040094912025,活动截止到哪天,这个活动截止到哪天,1
8388040157221037,8388040161058021,地址是哪个啊,嗯！地址在哪里,1
8530000006823005,8530000014479006,24岁，有两三年了,24了，有一两年了,1
1800280044929013,1800280067321004,我想了解一下收费情况,费用各方面情况能了解一下嘛,1
3991420105051018,3991420106831011,超频秒是啥,超频刀是什么,0
8388040073260043,8388040082007041,短信已收到，谢谢,好 我收到短信了,1
6068820002056002,6068820010687010,价位都有多少的？,价位多少？有活动吗？,0
4276530007089011,5015660006298012,冰点还是激光好,是普通激光还是冰点还是？,0
5861350009042008,5861350009513028,这样啊  没事,这样吧！完了再说,0
9963270037542009,9963270041086014,休息好了也有,你们周末休息嘛？,0
6708030023254002,6708030040498002,不是2880吗,2880？,1
6068820002413001,8881750006581002,去除眼袋需多少钱？,做眼袋术需多少钱,1
3991420082946002,3991420088244014,瘦脸针是888？衡力的吗？,衡力888的,0
1850300047298000,6903320002605001,你好，请问美白针多少钱,你好 请问有美白针么,0
8388040021615002,8388040035749002,手臂和背部抽脂多少钱,吸脂手臂多少钱？,0
1850300047030013,6903320001786006,怕手术有风险吧,手术有一定风险吧？,1
2875580001855001,2875580001855005,26岁，脸部提拉多少钱可以做,26岁提拉多少钱可以做,1
8592480013701011,7419650013631015,去皮去脂,我想做全切去脂去皮,0
5015660009665005,7261990000758016,是直径吗,直径五毫米吧,0
8881750023471003,5979500002928002,做切眉多少钱啊,做个提眉术多少钱,0
5732510009252001,5732510025648003,身上长了很大的逗逗,身上长豆豆,1
6577100012343003,2367960003763002,处女膜修复要多少钱,阴道紧缩术要多少钱呢,0
8530000006161007,8530000019888007,没有松弛，32,22了吧 松弛吗？应该没有吧,0
1600310022922012,1600310047630008,成都华美,没有，在成都华美,1
5727500010321001,5727500018876001,眼袋特别重,眼袋特别严重,1
8388040046090002,8388040055357002,我想问一下开双眼皮的价位是多少,想问一下，开眼角加双眼皮手术多少费用,0
9963270002222016,9963270017876014,现在的聊天可以发吗,对啊对啊，现在聊天的这个,0
6068820002237004,6068820011038005,99元 包干吗,脱腋毛是99吗,0
8388040073598015,8388040090871057,加微信就算了，上面是你的手机号吗？我就这个手机号就好了,是的我手机号是微信,0
1600310022953005,1600310030486002,牙齿矫正多大年龄合适？,牙齿矫正年龄多大才最合适,1
6068820002154009,6068820012256011,您们医院在哪里，怎么走,您们店在哪里？,0
5861350009221007,9170690010808024,觉得好丑,就觉得很丑,1
2773850029811011,2773850030880020,伤害皮肤么,会损害皮肤嘛,1
3991420042926008,3991420047073019,我是想注射鼻子和下巴,做鼻子跟下巴,0
8388040188934045,8388040189192002,多少钱二颗,四颗牙多少钱,0
5727500010417005,5727500028055006,效果能撑多久,能撑多久,1
8530000006779010,3226050010264005,女士.20,女士.30,1
1800280045065010,1800280076923037,不能熬夜吗,比如说不能熬夜，,1
8388040101414014,8388040126552003,不好意思刚刚出去了,不好意思刚才有事出去了,1
1800280045455001,1800280077521001,去除雀斑样痣要多少钱,祛晒斑去掉多少钱,0
9963270002198001,9963270007929001,眼袋请问怎么整,眼袋是怎么去的？,1
1600310059562003,1600310073031003,不开刀去眼袋是怎么做,不开刀怎么祛眼袋呢,1
9963270002286007,9963270034783006,不是痘坑也不是痘印,有些不是痘坑,0
2875580000816010,2875580002123001,一次治疗大约需要多少钱,大约纹一次要多少钱,0
8388040157402006,8388040161739014,什么叫做半永久的,半永久是什么情,0
8839580008494027,8839580036480001,鼻综合大概是多少钱呢,鼻综合多少钱呀？,1
8839580008051010,8839580021727022,6000多起是啥,她去了6000,0
5727500013479009,5727500018384001,艾丽薇多少钱？,乔雅登多少钱,0
1850300013271020,1850300044566011,算了，再见。,算了吧！再见,1
8388040129079011,8388040150465006,牙神经之前就挑掉了,之前是把牙神经断掉了已经,1
3991420019668001,3991420040179002,牙齿矫正冰晶的多少钱,冰晶矫正多少钱,0
3991420043710001,3991420057396025,这里直接发就好了,你这里发就可以了,1
8881750023296021,8881750048104001,新人还有优惠吗,新人优惠,1
8388040021748030,8388040023687014,就埋线3800？,3800的是切开么？,0
