,final_dialog_id,entity_list,expect_relation,api_relation,api_threshold
0,401,"[['item', '肾虚'], ['symptom', '血流不足']]",other,other_1,0.5607755780220032
1,401,"[['item', '肾虚'], ['cause', '长期的手淫']]",other,可能病因,0.7156099677085876
2,401,"[['item', '肾虚'], ['cause', '频繁的手淫']]",other,关联的症状,0.48466137051582336
3,401,"[['item', '肾虚'], ['symptom', '不坚不久']]",other,关联的症状,0.7690327763557434
4,401,"[['item', '肾虚'], ['symptom', '龟头神经特别敏感']]",other,other_1,0.9966134428977966
5,401,"[['item', '肾虚'], ['symptom', '海绵体有损伤']]",other,关联的症状,0.9349037408828735
6,401,"[['item', '肾虚'], ['symptom', '性生活中途疲软']]",other,关联的症状,0.9189913272857666
7,401,"[['item', '肾虚'], ['symptom', '没以前硬了']]",other,other_1,0.9949565529823303
8,401,"[['item', '肾虚'], ['symptom', '射的也快']]",other,关联的症状,0.845422625541687
9,401,"[['item', '肾虚'], ['symptom', '龟头神经敏感']]",other,other_1,0.9984272718429565
10,401,"[['symptom', '血流不足'], ['item', '早泄']]",关联的症状,可能病因,0.6509914994239807
11,401,"[['symptom', '血流不足'], ['cause', '长期的手淫']]",other,可能病因,0.536166250705719
12,401,"[['symptom', '血流不足'], ['cause', '频繁的手淫']]",可能病因,可能病因,0.7066353559494019
13,401,"[['symptom', '血流不足'], ['item', '阳痿']]",关联的症状,可能病因,0.5560891628265381
14,401,"[['symptom', '血流不足'], ['physiology', '勃起']]",other,other_1,0.905320942401886
15,401,"[['item', '早泄'], ['cause', '长期的手淫']]",可能病因,可能病因,0.6803595423698425
16,401,"[['item', '早泄'], ['cause', '频繁的手淫']]",可能病因,可能病因,0.7619778513908386
17,401,"[['item', '早泄'], ['symptom', '不坚不久']]",关联的症状,关联的症状,0.8997402191162109
18,401,"[['item', '早泄'], ['symptom', '龟头神经特别敏感']]",关联的症状,关联的症状,0.9532045722007751
19,401,"[['item', '早泄'], ['symptom', '海绵体有损伤']]",关联的症状,关联的症状,0.9569717645645142
20,401,"[['item', '早泄'], ['symptom', '性生活中途疲软']]",关联的症状,关联的症状,0.9484060406684875
21,401,"[['item', '早泄'], ['symptom', '没以前硬了']]",关联的症状,other_1,0.7508750557899475
22,401,"[['item', '早泄'], ['symptom', '射的也快']]",关联的症状,关联的症状,0.9529229998588562
23,401,"[['item', '早泄'], ['symptom', '龟头神经敏感']]",关联的症状,关联的症状,0.9486240148544312
24,401,"[['cause', '长期的手淫'], ['symptom', '不坚不久']]",other,关联的症状,0.44274580478668213
25,401,"[['cause', '长期的手淫'], ['item', '阳痿']]",可能病因,可能病因,0.689275324344635
26,401,"[['cause', '长期的手淫'], ['symptom', '龟头神经特别敏感']]",other,关联的症状,0.951748251914978
27,401,"[['cause', '长期的手淫'], ['symptom', '海绵体有损伤']]",other,关联的症状,0.9618768692016602
28,401,"[['cause', '长期的手淫'], ['symptom', '性生活中途疲软']]",other,关联的症状,0.8242239952087402
29,401,"[['cause', '长期的手淫'], ['symptom', '没以前硬了']]",other,关联的症状,0.6892164945602417
30,401,"[['cause', '长期的手淫'], ['symptom', '射的也快']]",other,关联的症状,0.8645612001419067
31,401,"[['cause', '长期的手淫'], ['symptom', '龟头神经敏感']]",other,关联的症状,0.9244097471237183
32,401,"[['cause', '频繁的手淫'], ['symptom', '不坚不久']]",可能病因,other_1,0.6030685305595398
