question
" 都有什么课程"
" 我想问你中专是什么意思"
" 咱们这个学校是两学两年吗？"
" 咱们这个学校就业吗"
" 将来包分配吗"
" 学几年可以有大专证"
" 是的这里环境怎样，手把手交吗？"
" 学费多少钱"
" 这是什么学校了"
" 这运营工程师，是什么？"
" 一年学费多少"
" 一年多少学费"
" 你好，你们的学费是多少？"
" 能拿证吗？"
" 新能源是干什么"
" 你们这学费怎么收"
" 请问学汽修得多少钱"
" 短期呢"
" 您好，高老师。怎么学？学费多少？私家车修理。"
" 你校招收的是高中生还是初中生"
" 是的，初中毕业可以学吗"
" 学费多少？"
" 学费多少了"
" 学费一年多少钱？上几年？"
" 学费多少钱啊！"
" 学费多少"
" 我就想问问这个学会了修一辆车多少钱了"
" 学多长时间"
" 想学习汽车脚垫，不知道可以不"
" 这学费多少钱"
" 我儿子十八岁，现在上高三  但是不肯念 现在请假了，想了解学什么手艺"
" 你们学费怎么收"
" 我想问问这门专业学完，出来好就业吗"
" 刚15岁能上吗，学校收吗"
" 学习学费是多少"
" 二手车评估证，可以学嘛？"
" 学费多少"
" 学费多少钱一个月"
" 学费多少"
" 女性能学吗？"
" 学这个需要多长时间"
" 学费多少呢"
" 多少钱的学费？"
" 咱们这学费怎么收"
" 是的，学费多少。"
" 学时多久，学费多少"
" 就业包分配吗？"
" 我就是咨询一下，一年需要多少钱"
" 多长时间能学会"
" 学几年"
" 学费多少"
" 多少钱学习半年"
" 报短期班的话学费是多少？"
" 那什么现在去学费多少"
" 学费多少钱?"
" 学费一个月是多少"
" 学费多少钱啊"
" 学费多少"
" 学费大约多少"
" 一年学费多少钱"
" 什么价位呢"
" 学费怎么说"
" 工资多少一年"
" 学费多少钱"
" 3+2？是什么"
" 学费多少"
" 请问老师一年学费是多少？"
" 一年的学费多少？"
" 要你多少钱"
" 学费是多少"
" 这l年要多少学费"
" 学这个多少钱呢"
" 年龄最大限制多少"
" 学习费多少"
" 学费一年多少"
" 学费多少"
" 学费怎么收"
" 资费多少"
" 多少钱？"
" 学费多钱"
" 学费多少"
" 老师学费多少"
" 学费多少钱"
" 你就告诉我，女孩毕业会分配到哪里"
" 学费一年多少钱"
" 一个学期多少钱"
" 学费多少啊"
" 这个学校还是很出名的"
" 学费多少"
" 学费多少"
" 学费一年多少钱"
" 毕业能考些什么？"
" 学费一年多少？"
" 请问学费是多少"
" 200多有什么学校？"
" 录取分数线多少？"
" 可不可以去学"
" 老师，你先告诉我，你们那个学校学的好吗？人多不多？"
" 有没有计算机"
" 学费多少钱"
" 我想问下你们那里啥时候报名"
" 这个学校是属于高职吗"
" 学费多少呢"
" 怎么收费？"
" 学费贵吗"
"汽车美容 这个一年学费多少钱？"
" 学校主要是学汽修吗？"
" 一年多少钱？"
" 一年学费多少"
" 学汽修多钱呢，多才时间能学出来呢？"
" 请问一下一年的学费多少钱"
" 你们学校有啥专业？"
" 我22岁能不能去了"
" 学汽修学费多少钱"
" 你们有焊工和钳工技师证书那"
" 我质询一下，学汽车技术需要多久"
" 你好，我是初中毕业，上你们这所学校，中专几年，大专几年，本科几年"
" 我想上本科怎么上"
" 这个学习有难度吗"
" 那一个月可以挣多少钱呢？"
" 3年不是中专吗？"
" 您好，学汽车美容需要多长时间"
" 学期多长"
" 你好，要学习多久"
" 学费多少"
" 学费怎么收"
" 在包分配吗"
" 这个学校专业可以专升本吗"
" 学这的技术费力气不？"
" 学校全名叫什么"
" 报名条件是？"
" 毕业后薪水多少"
" 学校是大专还是中专"
" 汽车美容是属于哪个专业"
" 学费每年多少"
" 有没有业务时间学的，学多长，年龄有限制吗？"
" 长期是什么"
" 那一年学费是多少"
" 是，学期多长？学费多少？学习期满可获得哪些证书和优惠？"
" 可以试学吗？"
" 不需要任何证件吗？"
" 这个是需要学习多久？"
" 毕业有什么证？"
" 我想知道这个是中专还是大专"
" 学费是多少，吃喝住又是怎么回事"
" 多钱的学费"
" 毕业了出来修车还是卖车？"
" 毕业证国家承认吗？"
" 学费多少啊？"
" 不知道要学多长时间"
" 学多长时间"
" 多少钱"
" 限制年龄不"
" 培训多长时间啊？"
" 你给我说一下学费是多少"
" 学费多少"
" 学费咋样"
" 问一下这个一年学费多少？"
" 嗯嗯，可以学吗"
" 你那学费多少钱呢"
" 眼睛近视800度，能行吗？"
" 培训两个月需要多钱"
" 你们学校是培训大车还是小车"
" 多少钱报名"
" 学费多少啊"
" 能给个建议吗？谢谢。"
