,dialog_id,entity_value_relationship,file
0,401,symptom@海绵体有损伤#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
1,401,symptom@血流不足#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
2,401,symptom@龟头神经敏感#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
3,401,symptom@不坚不久#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
4,401,symptom@射的也快#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
5,401,symptom@性生活中途疲软#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
6,401,symptom@没以前硬了#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
7,401,item@阳痿#关联的症状#symptom@没以前硬了,男科_潘淑贞_0.graph
8,401,item@阳痿#关联的症状#symptom@射的也快,男科_潘淑贞_0.graph
9,401,item@阳痿#关联的症状#symptom@不坚不久,男科_潘淑贞_0.graph
10,401,item@阳痿#关联的症状#symptom@性生活中途疲软,男科_潘淑贞_0.graph
11,401,item@早泄#关联的症状#symptom@没以前硬了,男科_潘淑贞_0.graph
12,401,item@早泄#关联的症状#symptom@射的也快,男科_潘淑贞_0.graph
13,401,item@早泄#关联的症状#symptom@不坚不久,男科_潘淑贞_0.graph
14,401,item@早泄#关联的症状#symptom@性生活中途疲软,男科_潘淑贞_0.graph
15,401,cause@频繁的手淫#同义的实体#cause@长期的手淫,男科_潘淑贞_0.graph
16,401,symptom@龟头神经特别敏感#同义的实体#symptom@龟头神经敏感,男科_潘淑贞_0.graph
17,401,item@阳痿#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
18,401,item@阳痿#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
19,401,item@早泄#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
20,401,item@早泄#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
21,401,item@早泄#关联的症状#symptom@龟头神经特别敏感,男科_潘淑贞_0.graph
22,401,item@早泄#关联的症状#symptom@海绵体有损伤,男科_潘淑贞_0.graph
23,401,item@早泄#关联的症状#symptom@血流不足,男科_潘淑贞_0.graph
24,401,item@早泄#关联的症状#symptom@龟头神经敏感,男科_潘淑贞_0.graph
25,401,item@阳痿#关联的症状#symptom@龟头神经特别敏感,男科_潘淑贞_0.graph
26,401,item@阳痿#关联的症状#symptom@海绵体有损伤,男科_潘淑贞_0.graph
27,401,item@阳痿#关联的症状#symptom@龟头神经敏感,男科_潘淑贞_0.graph
28,401,item@阳痿#关联的症状#symptom@血流不足,男科_潘淑贞_0.graph
29,401,symptom@海绵体有损伤#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
30,401,symptom@血流不足#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
31,401,symptom@龟头神经敏感#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
32,401,symptom@不坚不久#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
33,401,symptom@射的也快#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
34,401,symptom@性生活中途疲软#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
35,401,symptom@没以前硬了#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
36,401,item@阳痿#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
37,401,item@阳痿#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
38,401,item@早泄#可能病因#cause@长期的手淫,男科_潘淑贞_0.graph
39,401,item@早泄#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
40,401,symptom@龟头神经特别敏感#可能病因#cause@频繁的手淫,男科_潘淑贞_0.graph
41,401,item@早泄#关联的症状#symptom@龟头神经敏感,男科_潘淑贞_0.graph
42,401,item@早泄#关联的症状#symptom@龟头神经特别敏感,男科_潘淑贞_0.graph
43,401,item@阳痿#关联的症状#symptom@龟头神经敏感,男科_潘淑贞_0.graph
44,401,item@阳痿#关联的症状#symptom@龟头神经特别敏感,男科_潘淑贞_0.graph
45,402,symptom@上小便疼#同义的实体#symptom@上小便会疼,男科_潘淑贞_0.graph
46,402,item@尿道炎#关联的症状#symptom@下面流脓,男科_潘淑贞_0.graph
47,402,item@尿道炎#关联的症状#symptom@流脓,男科_潘淑贞_0.graph
48,402,item@尿道炎#关联的症状#symptom@上小便疼,男科_潘淑贞_0.graph
49,402,item@尿道炎#关联的病毒#virus@淋球菌,男科_潘淑贞_0.graph
